Rel. Level,Noise Level,Noise Area,layer,attn_ratio
Congruent,0.0,Target,0,0.04227771764062345
Congruent,0.0,Target,1,0.05200812523439526
Congruent,0.0,Target,2,0.06487691687047481
Congruent,0.0,Target,3,0.09267002511397004
Congruent,0.0,Target,4,0.10903565140068532
Congruent,0.0,Target,5,0.11731983753293752
Congruent,0.0,Target,6,0.11328379805386067
Congruent,0.0,Target,7,0.17548028661310672
Congruent,0.0,Target,8,0.15800870173424483
Congruent,0.0,Target,9,0.16972556515038015
Congruent,0.0,Target,10,0.1827717877626419
Congruent,0.0,Target,11,0.1823288174532354
Congruent,0.0,Target,12,0.18898914099484682
Congruent,0.0,Target,13,0.19381663202121854
Congruent,0.0,Target,14,0.17493383229896425
Congruent,0.0,Target,15,0.20847888244315982
Congruent,0.0,Target,16,0.1872028120085597
Congruent,0.0,Target,17,0.16810421908274292
Congruent,0.0,Target,18,0.14538731822371484
Congruent,0.0,Target,19,0.14200424910336734
Congruent,0.0,Target,20,0.1526490151770413
Congruent,0.0,Target,21,0.1349722105804831
Congruent,0.0,Target,22,0.11098548110388219
Congruent,0.0,Target,23,0.13338540710136296
Congruent,0.0,Target,24,0.12648928403668105
Congruent,0.0,Target,25,0.13549774396792055
Congruent,0.5,All,0,0.03638982322687904
Congruent,0.5,All,1,0.022344224636132518
Congruent,0.5,All,2,0.034467976943900185
Congruent,0.5,All,3,0.043766746576875445
Congruent,0.5,All,4,0.06340564967443546
Congruent,0.5,All,5,0.07463726631055276
Congruent,0.5,All,6,0.067429510379831
Congruent,0.5,All,7,0.09466631334895889
Congruent,0.5,All,8,0.07835693079978227
Congruent,0.5,All,9,0.08888848659892877
Congruent,0.5,All,10,0.10112702827900648
Congruent,0.5,All,11,0.09227877755959829
Congruent,0.5,All,12,0.09372721165418625
Congruent,0.5,All,13,0.09780801171436906
Congruent,0.5,All,14,0.10313315270468593
Congruent,0.5,All,15,0.12790165580809115
Congruent,0.5,All,16,0.10037013407175739
Congruent,0.5,All,17,0.10929985111579299
Congruent,0.5,All,18,0.09836298658822974
Congruent,0.5,All,19,0.08794359816238284
Congruent,0.5,All,20,0.07578528889765342
Congruent,0.5,All,21,0.0863253598101437
Congruent,0.5,All,22,0.08086245575298866
Congruent,0.5,All,23,0.10325388759374618
Congruent,0.5,All,24,0.08703825821479162
Congruent,0.5,All,25,0.11335399625822902
Congruent,0.5,Context,0,0.07078301864399547
Congruent,0.5,Context,1,0.09432781244268512
Congruent,0.5,Context,2,0.2035899381476021
Congruent,0.5,Context,3,0.32399658116484337
Congruent,0.5,Context,4,0.31489062100870185
Congruent,0.5,Context,5,0.3316128530475025
Congruent,0.5,Context,6,0.2711395337476884
Congruent,0.5,Context,7,0.3408214010962165
Congruent,0.5,Context,8,0.261167679904121
Congruent,0.5,Context,9,0.31346303908762957
Congruent,0.5,Context,10,0.3817284857614501
Congruent,0.5,Context,11,0.388570754798037
Congruent,0.5,Context,12,0.3475253900679031
Congruent,0.5,Context,13,0.38892671410547625
Congruent,0.5,Context,14,0.3054437793072055
Congruent,0.5,Context,15,0.3405581170619272
Congruent,0.5,Context,16,0.34495581212536536
Congruent,0.5,Context,17,0.2850505476909699
Congruent,0.5,Context,18,0.23622349154499203
Congruent,0.5,Context,19,0.23375260544074053
Congruent,0.5,Context,20,0.21905048736970467
Congruent,0.5,Context,21,0.19624090765944063
Congruent,0.5,Context,22,0.15619222200498686
Congruent,0.5,Context,23,0.19242562139452907
Congruent,0.5,Context,24,0.1449656902355981
Congruent,0.5,Context,25,0.19768444701365315
Congruent,0.5,Target,0,0.02636085937653358
Congruent,0.5,Target,1,0.055462320684455335
Congruent,0.5,Target,2,0.1377738769321392
Congruent,0.5,Target,3,0.1339221375916774
Congruent,0.5,Target,4,0.13226054438079396
Congruent,0.5,Target,5,0.13560350658372045
Congruent,0.5,Target,6,0.14463600415425995
Congruent,0.5,Target,7,0.15920097349832454
Congruent,0.5,Target,8,0.12864440369109312
Congruent,0.5,Target,9,0.1493763946928084
Congruent,0.5,Target,10,0.15799048620586595
Congruent,0.5,Target,11,0.15808072577541074
Congruent,0.5,Target,12,0.16765191064526638
Congruent,0.5,Target,13,0.16555536988501748
Congruent,0.5,Target,14,0.14241436341156563
Congruent,0.5,Target,15,0.12178417411632836
Congruent,0.5,Target,16,0.13449247010673085
Congruent,0.5,Target,17,0.1269644134057065
Congruent,0.5,Target,18,0.07491282311578591
Congruent,0.5,Target,19,0.0941034983843565
Congruent,0.5,Target,20,0.10107697577526172
Congruent,0.5,Target,21,0.11156010876099269
Congruent,0.5,Target,22,0.0951906399956594
Congruent,0.5,Target,23,0.0964755262248218
Congruent,0.5,Target,24,0.09314123261719942
Congruent,0.5,Target,25,0.10312778471658628
Congruent,1.0,All,0,0.021619964701433975
Congruent,1.0,All,1,0.018528804183006287
Congruent,1.0,All,2,0.03396159534653028
Congruent,1.0,All,3,0.04551972014208635
Congruent,1.0,All,4,0.06898673002918561
Congruent,1.0,All,5,0.07596714422106743
Congruent,1.0,All,6,0.0666286622484525
Congruent,1.0,All,7,0.060842844968040787
Congruent,1.0,All,8,0.0776630441347758
Congruent,1.0,All,9,0.08987798603872459
Congruent,1.0,All,10,0.06588908781607945
Congruent,1.0,All,11,0.06226773311694463
Congruent,1.0,All,12,0.0855957455933094
Congruent,1.0,All,13,0.06471525443096955
Congruent,1.0,All,14,0.08743987791240215
Congruent,1.0,All,15,0.06882582263400157
Congruent,1.0,All,16,0.04101681523025036
Congruent,1.0,All,17,0.04112299159169197
Congruent,1.0,All,18,0.052668280278642975
Congruent,1.0,All,19,0.045915194476644196
Congruent,1.0,All,20,0.049683259800076485
Congruent,1.0,All,21,0.03937719793369373
Congruent,1.0,All,22,0.03970733657479286
Congruent,1.0,All,23,0.04938229483862718
Congruent,1.0,All,24,0.079774580275019
Congruent,1.0,All,25,0.07082941010594368
Congruent,1.0,Context,0,0.072153804781035
Congruent,1.0,Context,1,0.08996758931700927
Congruent,1.0,Context,2,0.25354441952541334
Congruent,1.0,Context,3,0.3834417791814979
Congruent,1.0,Context,4,0.4005980002907438
Congruent,1.0,Context,5,0.5348061200128783
Congruent,1.0,Context,6,0.448331527001814
Congruent,1.0,Context,7,0.5293348392625468
Congruent,1.0,Context,8,0.38000849914660145
Congruent,1.0,Context,9,0.43481484356276484
Congruent,1.0,Context,10,0.5867657555489365
Congruent,1.0,Context,11,0.6234485027166682
Congruent,1.0,Context,12,0.5395417079466198
Congruent,1.0,Context,13,0.6101537350257602
Congruent,1.0,Context,14,0.4531386556496861
Congruent,1.0,Context,15,0.4982843831044818
Congruent,1.0,Context,16,0.5783647789936001
Congruent,1.0,Context,17,0.43133672716420723
Congruent,1.0,Context,18,0.353277502085911
Congruent,1.0,Context,19,0.379573946664913
Congruent,1.0,Context,20,0.3183630288433318
Congruent,1.0,Context,21,0.29342293288182775
Congruent,1.0,Context,22,0.217422046177431
Congruent,1.0,Context,23,0.30730462392125657
Congruent,1.0,Context,24,0.18928149277600673
Congruent,1.0,Context,25,0.2747982432125905
Congruent,1.0,Target,0,0.03141482667221377
Congruent,1.0,Target,1,0.07992642873432487
Congruent,1.0,Target,2,0.15942190843634307
Congruent,1.0,Target,3,0.1550439556594938
Congruent,1.0,Target,4,0.14307211882745227
Congruent,1.0,Target,5,0.1385867561524113
Congruent,1.0,Target,6,0.14002650572607914
Congruent,1.0,Target,7,0.15497737424448133
Congruent,1.0,Target,8,0.12057028043394287
Congruent,1.0,Target,9,0.12795217715514204
Congruent,1.0,Target,10,0.1413256941207995
Congruent,1.0,Target,11,0.14301831515816352
Congruent,1.0,Target,12,0.13753434635388354
Congruent,1.0,Target,13,0.15135097969323397
Congruent,1.0,Target,14,0.13436497972967723
Congruent,1.0,Target,15,0.10103199549484998
Congruent,1.0,Target,16,0.11964983128321667
Congruent,1.0,Target,17,0.11172530381008983
Congruent,1.0,Target,18,0.07734526092341791
Congruent,1.0,Target,19,0.09419292867338906
Congruent,1.0,Target,20,0.09148252677793305
Congruent,1.0,Target,21,0.13296569984716675
Congruent,1.0,Target,22,0.10853012596877913
Congruent,1.0,Target,23,0.09386619246409585
Congruent,1.0,Target,24,0.09455443251257141
Congruent,1.0,Target,25,0.09422876903166373
Incongruent,0.0,Target,0,0.0508337501094987
Incongruent,0.0,Target,1,0.058736485882351794
Incongruent,0.0,Target,2,0.07035636296495795
Incongruent,0.0,Target,3,0.10311797448744377
Incongruent,0.0,Target,4,0.1130816106001536
Incongruent,0.0,Target,5,0.12785244569182397
Incongruent,0.0,Target,6,0.12408634199450413
Incongruent,0.0,Target,7,0.2020638124148051
Incongruent,0.0,Target,8,0.18778326543668905
Incongruent,0.0,Target,9,0.20205406496922176
Incongruent,0.0,Target,10,0.22525780600806078
Incongruent,0.0,Target,11,0.2192219781378905
Incongruent,0.0,Target,12,0.22846604359646638
Incongruent,0.0,Target,13,0.23768289687732855
Incongruent,0.0,Target,14,0.21746006101369858
Incongruent,0.0,Target,15,0.27650562924643357
Incongruent,0.0,Target,16,0.23283509890238444
Incongruent,0.0,Target,17,0.21660033946235974
Incongruent,0.0,Target,18,0.16099152398606142
Incongruent,0.0,Target,19,0.15355083752423526
Incongruent,0.0,Target,20,0.14786642495542765
Incongruent,0.0,Target,21,0.17326979843278725
Incongruent,0.0,Target,22,0.12166350272794564
Incongruent,0.0,Target,23,0.1539098733663559
Incongruent,0.0,Target,24,0.15738923608014982
Incongruent,0.0,Target,25,0.16479204311966897
Incongruent,0.5,All,0,0.046315461630001664
Incongruent,0.5,All,1,0.018249255139380693
Incongruent,0.5,All,2,0.0250948304310441
Incongruent,0.5,All,3,0.0454059187322855
Incongruent,0.5,All,4,0.11951820366084576
Incongruent,0.5,All,5,0.12604958191514015
Incongruent,0.5,All,6,0.10753158666193485
Incongruent,0.5,All,7,0.21135002002120018
Incongruent,0.5,All,8,0.14545836951583624
Incongruent,0.5,All,9,0.17043873481452465
Incongruent,0.5,All,10,0.2370664607733488
Incongruent,0.5,All,11,0.20122458413243294
Incongruent,0.5,All,12,0.1878179144114256
Incongruent,0.5,All,13,0.24281850457191467
Incongruent,0.5,All,14,0.21467287372797728
Incongruent,0.5,All,15,0.2181884665042162
Incongruent,0.5,All,16,0.19969562999904156
Incongruent,0.5,All,17,0.1857459656894207
Incongruent,0.5,All,18,0.11669285409152508
Incongruent,0.5,All,19,0.15362884290516376
Incongruent,0.5,All,20,0.13874983228743076
Incongruent,0.5,All,21,0.15482291672378778
Incongruent,0.5,All,22,0.1547397244721651
Incongruent,0.5,All,23,0.2548762783408165
Incongruent,0.5,All,24,0.19277597405016422
Incongruent,0.5,All,25,0.19365589134395123
Incongruent,0.5,Context,0,0.09170132390320745
Incongruent,0.5,Context,1,0.12113038445961898
Incongruent,0.5,Context,2,0.25016583642686036
Incongruent,0.5,Context,3,0.40849409413649074
Incongruent,0.5,Context,4,0.40328861884216766
Incongruent,0.5,Context,5,0.42165425909099297
Incongruent,0.5,Context,6,0.3516412541937472
Incongruent,0.5,Context,7,0.4233808962266837
Incongruent,0.5,Context,8,0.339560111178391
Incongruent,0.5,Context,9,0.40463034730793823
Incongruent,0.5,Context,10,0.5029352300647479
Incongruent,0.5,Context,11,0.5192295558639427
Incongruent,0.5,Context,12,0.5029516997399615
Incongruent,0.5,Context,13,0.549217226567553
Incongruent,0.5,Context,14,0.4668515734930537
Incongruent,0.5,Context,15,0.4947150740494479
Incongruent,0.5,Context,16,0.47774663211694407
Incongruent,0.5,Context,17,0.40923401902415857
Incongruent,0.5,Context,18,0.31369197201817783
Incongruent,0.5,Context,19,0.31043780656225645
Incongruent,0.5,Context,20,0.2608964985875941
Incongruent,0.5,Context,21,0.3339517599166329
Incongruent,0.5,Context,22,0.2202419870491348
Incongruent,0.5,Context,23,0.2850522149298618
Incongruent,0.5,Context,24,0.22696766018200276
Incongruent,0.5,Context,25,0.2836802050804914
Incongruent,0.5,Target,0,0.06857885047793388
Incongruent,0.5,Target,1,0.1470663994550705
Incongruent,0.5,Target,2,0.2723369896411896
Incongruent,0.5,Target,3,0.24909251928329468
Incongruent,0.5,Target,4,0.2705851048231125
Incongruent,0.5,Target,5,0.2763683348894119
Incongruent,0.5,Target,6,0.3197655528783798
Incongruent,0.5,Target,7,0.31573358178138733
Incongruent,0.5,Target,8,0.2670876085758209
