Rel. Level,Noise Level,Noise Area,layer,attn_ratio
Congruent,0.0,Target,0,0.029284646900487134
Congruent,0.0,Target,1,0.03921988993869022
Congruent,0.0,Target,2,0.04652531964979558
Congruent,0.0,Target,3,0.06705941153323335
Congruent,0.0,Target,4,0.07508511309949399
Congruent,0.0,Target,5,0.08441643894607709
Congruent,0.0,Target,6,0.08063865543526569
Congruent,0.0,Target,7,0.12229149166325276
Congruent,0.0,Target,8,0.11331716736277678
Congruent,0.0,Target,9,0.11908596465716872
Congruent,0.0,Target,10,0.12749958479438317
Congruent,0.0,Target,11,0.12342508956648861
Congruent,0.0,Target,12,0.12902605303661954
Congruent,0.0,Target,13,0.1319841459718053
Congruent,0.0,Target,14,0.11943363652663362
Congruent,0.0,Target,15,0.14045001420996744
Congruent,0.0,Target,16,0.12587894376536662
Congruent,0.0,Target,17,0.11853033493089518
Congruent,0.0,Target,18,0.09971326267854734
Congruent,0.0,Target,19,0.09794167414674479
Congruent,0.0,Target,20,0.1020456263876633
Congruent,0.0,Target,21,0.08872665262632919
Congruent,0.0,Target,22,0.07390640265304793
Congruent,0.0,Target,23,0.08909915201507057
Congruent,0.0,Target,24,0.08258901983640636
Congruent,0.0,Target,25,0.09203694277428881
Congruent,0.5,All,0,0.021028296946315094
Congruent,0.5,All,1,0.018060520843286985
Congruent,0.5,All,2,0.025621170045412853
Congruent,0.5,All,3,0.032244201211936094
Congruent,0.5,All,4,0.04420856944511108
Congruent,0.5,All,5,0.05612389011322662
Congruent,0.5,All,6,0.051074017881006566
Congruent,0.5,All,7,0.06200841379000904
Congruent,0.5,All,8,0.0536235493152741
Congruent,0.5,All,9,0.058893701586533675
Congruent,0.5,All,10,0.062293613817768566
Congruent,0.5,All,11,0.05835886446540385
Congruent,0.5,All,12,0.05764463161890903
Congruent,0.5,All,13,0.060099151960722255
Congruent,0.5,All,14,0.058034419682173224
Congruent,0.5,All,15,0.06404618175813194
Congruent,0.5,All,16,0.059402845918454905
Congruent,0.5,All,17,0.056078054192193756
Congruent,0.5,All,18,0.05777878683187406
Congruent,0.5,All,19,0.05043774146734822
Congruent,0.5,All,20,0.04479603166586127
Congruent,0.5,All,21,0.04094336997386012
Congruent,0.5,All,22,0.03330628813957005
Congruent,0.5,All,23,0.04619382999989091
Congruent,0.5,All,24,0.041515294547813636
Congruent,0.5,All,25,0.05152855818054046
Congruent,0.5,Context,0,0.040317420983531825
Congruent,0.5,Context,1,0.05138399440051713
Congruent,0.5,Context,2,0.12765517408649127
Congruent,0.5,Context,3,0.22464956851168114
Congruent,0.5,Context,4,0.22418325216735177
Congruent,0.5,Context,5,0.25086527410047976
Congruent,0.5,Context,6,0.2033659195358103
Congruent,0.5,Context,7,0.25034230589781975
Congruent,0.5,Context,8,0.1866754524677879
Congruent,0.5,Context,9,0.22367060919235826
Congruent,0.5,Context,10,0.2762861858517157
Congruent,0.5,Context,11,0.2790766310257216
Congruent,0.5,Context,12,0.23894777394492517
Congruent,0.5,Context,13,0.26945466271841506
Congruent,0.5,Context,14,0.2154777061871507
Congruent,0.5,Context,15,0.23809394256606925
Congruent,0.5,Context,16,0.24418589017269285
Congruent,0.5,Context,17,0.2010353299097694
Congruent,0.5,Context,18,0.16104311259660983
Congruent,0.5,Context,19,0.15555111086348805
Congruent,0.5,Context,20,0.14656850576337258
Congruent,0.5,Context,21,0.12706353982070911
Congruent,0.5,Context,22,0.0949345212080516
Congruent,0.5,Context,23,0.12728847563690082
Congruent,0.5,Context,24,0.09467907670645438
Congruent,0.5,Context,25,0.13469164817678658
Congruent,0.5,Target,0,0.02240361302652728
Congruent,0.5,Target,1,0.0559293620584702
Congruent,0.5,Target,2,0.13166164751023507
Congruent,0.5,Target,3,0.11865683471163115
